time,TC,TT,TF,Power,TM,Status
22-07-13 23:39:32.00,40.690,40.690,40.820,1.683,NA,Ramp
22-07-13 23:39:33.00,40.692,40.691,40.820,1.550,NA,Ramp
22-07-13 23:39:34.00,40.692,40.692,40.820,1.628,NA,Ramp
22-07-13 23:39:35.00,40.693,40.693,40.820,1.537,NA,Ramp
22-07-13 23:39:36.00,40.693,40.693,40.820,1.636,NA,Ramp
22-07-13 23:39:37.00,40.693,40.694,40.820,1.686,NA,Ramp
22-07-13 23:39:38.00,40.695,40.695,40.820,1.680,NA,Ramp
22-07-13 23:39:39.00,40.695,40.696,40.820,1.708,NA,Ramp
22-07-13 23:39:40.00,40.696,40.697,40.820,1.528,NA,Ramp
22-07-13 23:39:41.00,40.696,40.698,40.820,1.802,NA,Ramp
22-07-13 23:39:42.00,40.699,40.698,40.820,1.700,NA,Ramp
22-07-13 23:39:43.00,40.697,40.699,40.820,1.753,NA,Ramp
22-07-13 23:39:44.00,40.698,40.700,40.820,1.745,NA,Ramp
22-07-13 23:39:45.00,40.698,40.701,40.820,1.865,NA,Ramp
22-07-13 23:39:46.00,40.700,40.702,40.820,1.823,NA,Ramp
22-07-13 23:39:47.00,40.702,40.702,40.820,1.747,NA,Ramp
22-07-13 23:39:48.00,40.703,40.702,40.820,1.595,NA,Ramp
22-07-13 23:39:49.00,40.704,40.703,40.820,1.599,NA,Ramp
22-07-13 23:39:50.00,40.703,40.704,40.820,1.664,NA,Ramp
22-07-13 23:39:51.00,40.705,40.705,40.820,1.684,NA,Ramp
22-07-13 23:39:52.00,40.707,40.706,40.820,1.524,NA,Ramp
22-07-13 23:39:53.00,40.706,40.707,40.820,1.603,NA,Ramp
22-07-13 23:39:54.00,40.708,40.707,40.820,1.680,NA,Ramp
22-07-13 23:39:55.00,40.709,40.708,40.820,1.744,NA,Ramp
22-07-13 23:39:56.00,40.710,40.709,40.820,1.676,NA,Ramp
22-07-13 23:39:57.00,40.710,40.710,40.820,1.660,NA,Ramp
22-07-13 23:39:58.00,40.711,40.711,40.820,1.654,NA,Ramp
22-07-13 23:39:59.00,40.715,40.712,40.820,1.563,NA,Ramp
22-07-13 23:40:00.00,40.715,40.712,40.820,1.518,NA,Ramp
22-07-13 23:40:01.00,40.713,40.713,40.820,1.730,NA,Ramp
22-07-13 23:40:02.00,40.714,40.714,40.820,1.609,NA,Ramp
22-07-13 23:40:03.00,40.714,40.715,40.820,1.670,NA,Ramp
22-07-13 23:40:04.00,40.715,40.716,40.820,1.745,NA,Ramp
22-07-13 23:40:05.00,40.718,40.717,40.820,1.689,NA,Ramp
22-07-13 23:40:06.00,40.716,40.717,40.820,1.752,NA,Ramp
22-07-13 23:40:07.00,40.718,40.718,40.820,1.585,NA,Ramp
22-07-13 23:40:08.00,40.719,40.719,40.820,1.633,NA,Ramp
22-07-13 23:40:09.00,40.720,40.720,40.820,1.605,NA,Ramp
22-07-13 23:40:10.00,40.719,40.721,40.820,1.779,NA,Ramp
22-07-13 23:40:11.00,40.721,40.722,40.820,1.660,NA,Ramp
22-07-13 23:40:12.00,40.721,40.722,40.820,1.769,NA,Ramp
22-07-13 23:40:13.00,40.723,40.723,40.820,1.697,NA,Ramp
22-07-13 23:40:14.00,40.724,40.724,40.820,1.599,NA,Ramp
22-07-13 23:40:15.00,40.725,40.725,40.820,1.630,NA,Ramp
22-07-13 23:40:16.00,40.725,40.726,40.820,1.690,NA,Ramp
22-07-13 23:40:17.00,40.725,40.727,40.820,1.651,NA,Ramp
22-07-13 23:40:18.00,40.727,40.727,40.820,1.584,NA,Ramp
22-07-13 23:40:19.00,40.727,40.728,40.820,1.597,NA,Ramp
22-07-13 23:40:20.00,40.729,40.729,40.820,1.679,NA,Ramp
22-07-13 23:40:21.00,40.732,40.730,40.820,1.563,NA,Ramp
22-07-13 23:40:22.00,40.732,40.731,40.820,1.596,NA,Ramp
22-07-13 23:40:23.00,40.730,40.732,40.820,1.593,NA,Ramp
22-07-13 23:40:24.00,40.731,40.732,40.820,1.625,NA,Ramp
22-07-13 23:40:25.00,40.733,40.733,40.820,1.609,NA,Ramp
22-07-13 23:40:26.00,40.732,40.734,40.820,1.723,NA,Ramp
22-07-13 23:40:27.00,40.735,40.735,40.820,1.685,NA,Ramp
22-07-13 23:40:28.00,40.733,40.736,40.820,1.732,NA,Ramp
22-07-13 23:40:29.00,40.737,40.737,40.820,1.674,NA,Ramp
22-07-13 23:40:30.00,40.737,40.737,40.820,1.707,NA,Ramp
22-07-13 23:40:31.00,40.739,40.738,40.820,1.600,NA,Ramp
22-07-13 23:40:32.00,40.739,40.739,40.820,1.600,NA,Ramp
22-07-13 23:40:33.00,40.739,40.740,40.820,1.718,NA,Ramp
22-07-13 23:40:34.00,40.743,40.741,40.820,1.617,NA,Ramp
22-07-13 23:40:35.00,40.741,40.742,40.820,1.659,NA,Ramp
22-07-13 23:40:36.00,40.741,40.742,40.820,1.729,NA,Ramp
22-07-13 23:40:37.00,40.743,40.743,40.820,1.698,NA,Ramp
22-07-13 23:40:38.00,40.744,40.744,40.820,1.704,NA,Ramp
22-07-13 23:40:39.00,40.744,40.745,40.820,1.640,NA,Ramp
22-07-13 23:40:40.00,40.746,40.746,40.820,1.661,NA,Ramp
22-07-13 23:40:41.00,40.746,40.747,40.820,1.620,NA,Ramp
22-07-13 23:40:42.00,40.746,40.747,40.820,1.674,NA,Ramp
22-07-13 23:40:43.00,40.748,40.748,40.820,1.575,NA,Ramp
22-07-13 23:40:44.00,40.749,40.749,40.820,1.709,NA,Ramp
22-07-13 23:40:45.00,40.749,40.750,40.820,1.789,NA,Ramp
22-07-13 23:40:46.00,40.751,40.751,40.820,1.657,NA,Ramp
22-07-13 23:40:47.00,40.752,40.752,40.820,1.653,NA,Ramp
22-07-13 23:40:48.00,40.751,40.752,40.820,1.649,NA,Ramp
22-07-13 23:40:49.00,40.751,40.753,40.820,1.810,NA,Ramp
22-07-13 23:40:50.00,40.755,40.754,40.820,1.579,NA,Ramp
22-07-13 23:40:51.00,40.754,40.755,40.820,1.697,NA,Ramp
22-07-13 23:40:52.00,40.754,40.756,40.820,1.681,NA,Ramp
22-07-13 23:40:53.00,40.756,40.757,40.820,1.663,NA,Ramp
22-07-13 23:40:54.00,40.758,40.757,40.820,1.680,NA,Ramp
22-07-13 23:40:55.00,40.756,40.758,40.820,1.757,NA,Ramp
22-07-13 23:40:56.00,40.758,40.759,40.820,1.721,NA,Ramp
22-07-13 23:40:57.00,40.761,40.760,40.820,1.672,NA,Ramp
22-07-13 23:40:58.00,40.760,40.761,40.820,1.669,NA,Ramp
22-07-13 23:40:59.00,40.760,40.762,40.820,1.721,NA,Ramp
22-07-13 23:41:00.00,40.761,40.762,40.820,1.733,NA,Ramp
22-07-13 23:41:01.00,40.762,40.763,40.820,1.558,NA,Ramp
22-07-13 23:41:02.00,40.763,40.764,40.820,1.624,NA,Ramp
22-07-13 23:41:03.00,40.766,40.765,40.820,1.574,NA,Ramp
22-07-13 23:41:04.00,40.765,40.766,40.820,1.667,NA,Ramp
22-07-13 23:41:05.00,40.767,40.767,40.820,1.582,NA,Ramp
22-07-13 23:41:06.00,40.769,40.767,40.820,1.594,NA,Ramp
22-07-13 23:41:07.00,40.768,40.768,40.820,1.707,NA,Ramp
22-07-13 23:41:08.00,40.770,40.769,40.820,1.603,NA,Ramp
22-07-13 23:41:09.00,40.769,40.770,40.820,1.696,NA,Ramp
22-07-13 23:41:10.00,40.767,40.771,40.820,1.720,NA,Ramp
22-07-13 23:41:11.00,40.770,40.772,40.820,1.648,NA,Ramp
22-07-13 23:41:12.00,40.770,40.772,40.820,1.681,NA,Ramp
22-07-13 23:41:13.00,40.772,40.773,40.820,1.623,NA,Ramp
22-07-13 23:41:14.00,40.773,40.774,40.820,1.547,NA,Ramp
22-07-13 23:41:15.00,40.774,40.775,40.820,1.600,NA,Ramp
22-07-13 23:41:16.00,40.774,40.776,40.820,1.737,NA,Ramp
22-07-13 23:41:17.00,40.778,40.777,40.820,1.671,NA,Ramp
22-07-13 23:41:18.00,40.777,40.777,40.820,1.667,NA,Ramp
22-07-13 23:41:19.00,40.777,40.778,40.820,1.794,NA,Ramp
22-07-13 23:41:20.00,40.781,40.779,40.820,1.768,NA,Ramp
22-07-13 23:41:21.00,40.780,40.780,40.820,1.760,NA,Ramp
22-07-13 23:41:22.00,40.781,40.781,40.820,1.755,NA,Ramp
22-07-13 23:41:23.00,40.781,40.781,40.820,1.716,NA,Ramp
22-07-13 23:41:24.00,40.782,40.782,40.820,1.764,NA,Ramp
22-07-13 23:41:25.00,40.783,40.783,40.820,1.740,NA,Ramp
22-07-13 23:41:26.00,40.783,40.784,40.820,1.791,NA,Ramp
22-07-13 23:41:27.00,40.784,40.785,40.820,1.699,NA,Ramp
22-07-13 23:41:28.00,40.784,40.786,40.820,1.800,NA,Ramp
22-07-13 23:41:29.00,40.787,40.786,40.820,1.649,NA,Ramp
22-07-13 23:41:30.00,40.789,40.786,40.820,1.478,NA,Ramp
22-07-13 23:41:31.00,40.785,40.787,40.820,1.782,NA,Ramp
22-07-13 23:41:32.00,40.790,40.788,40.820,1.487,NA,Ramp
22-07-13 23:41:33.00,40.789,40.789,40.820,1.689,NA,Ramp
22-07-13 23:41:34.00,40.790,40.790,40.820,1.548,NA,Ramp
22-07-13 23:41:35.00,40.789,40.791,40.820,1.613,NA,Ramp
22-07-13 23:41:36.00,40.790,40.791,40.820,1.726,NA,Ramp
22-07-13 23:41:37.00,40.792,40.792,40.820,1.660,NA,Ramp
22-07-13 23:41:38.00,40.794,40.793,40.820,1.580,NA,Ramp
22-07-13 23:41:39.00,40.795,40.794,40.820,1.605,NA,Ramp
22-07-13 23:41:40.00,40.795,40.795,40.820,1.633,NA,Ramp
22-07-13 23:41:41.00,40.796,40.796,40.820,1.613,NA,Ramp
22-07-13 23:41:42.00,40.797,40.796,40.820,1.694,NA,Ramp
22-07-13 23:41:43.00,40.796,40.797,40.820,1.751,NA,Ramp
22-07-13 23:41:44.00,40.797,40.798,40.820,1.627,NA,Ramp
22-07-13 23:41:45.00,40.800,40.799,40.820,1.633,NA,Ramp
22-07-13 23:41:46.00,40.800,40.800,40.820,1.633,NA,Ramp
